ID | NAME | TIME_ZONE | COUNTRY_ID
1,Goroka,10,172
2,Madang,10,172
3,Mount Hagen,10,172
4,Nadzab,10,172
5,Port Moresby,10,172
6,Wewak,10,172
7,Narssarssuaq,-3,87
8,Godthaab,-3,87
9,Sondrestrom,-3,87
10,Thule,-4,87
11,Akureyri,0,102
12,Egilsstadir,0,102
13,Hofn,0,102
14,Husavik,0,102
15,Isafjordur,0,102
16,Keflavik,0,102
17,Patreksfjordur,0,102
18,Reykjavik,0,102
19,Siglufjordur,0,102
20,Vestmannaeyjar,0,102
21,Sault Sainte Marie,-5,40
22,Winnipeg,-6,40
23,Halifax,-4,40
24,St. Anthony,-3.5,40
25,Tofino,-8,40
26,Pelly Bay,-7,40
27,Baie Comeau,-5,40
28,Bagotville,-5,40
29,Baker Lake,-6,40
30,Campbell River,-8,40
31,Brandon,-6,40
32,Cambridge Bay,-7,40
33,Nanaimo,-8,40
34,Castlegar,-8,40
35,Chatham,-4,40
36,Charlo,-4,40
37,Coppermine,-7,40
38,Coronation,-7,40
39,Chilliwack,-8,40
40,Clyde River,-5,40
41,Coral Harbour,-5,40
42,Dawson,-8,40
43,Burwash,-8,40
44,Princeton,-8,40
45,Deer Lake,-3.5,40
46,Dease Lake,-8,40
47,Dauphin,-6,40
48,Dawson Creek,-7,40
49,Edmonton,-7,40
50,Eskimo Point,-6,40
51,Estevan,-6,40
52,Edson,-7,40
53,Eureka,-6,40
54,Inuvik,-7,40
55,Iqaluit,-5,40
56,Fredericton,-4,40
57,Forestville,-5,40
58,Flin Flon,-6,40
59,Fort Resolution,-7,40
60,Fort Simpson,-7,40
61,Kingston,-5,40
62,La Grande Riviere,-5,40
63,Gaspe,-5,40
64,Geraldton,-5,40
65,Iles De La Madeleine,-5,40
66,Hudson Bay,-6,40
67,Dryden,-6,40
68,Holman Island,-7,40
69,Gjoa Haven,-7,40
70,Hamilton,-5,40
71,Montreal,-5,40
72,Hay River,-7,40
73,Atikokan,-5,40
74,Pond Inlet,-5,40
75,St. Jean,-5,40
76,Stephenville,-3.5,40
77,Kamloops,-8,40
78,Waterloo,-5,40
79,Schefferville,-5,40
80,Kindersley,-6,40
81,Toronto,-5,40
82,Chapleau,-5,40
83,Meadow Lake,-6,40
84,Lloydminster,-7,40
85,Alert,-5,40
86,Kelowna,-8,40
87,Mayo,-8,40
88,Moose Jaw,-6,40
89,Fort Mcmurray,-7,40
90,Moosonee,-5,40
91,Maniwaki,-5,40
92,Natashquan,-5,40
93,Gatineau,-5,40
94,Matagami,-5,40
95,Old Crow,-8,40
96,Cold Lake,-7,40
97,High Level,-7,40
98,Ottawa,-5,40
99,Prince Albert,-6,40
100,Peace River,-7,40
101,Portage-la-prairie,-6,40
102,Pitt Meadows,-8,40
103,Pickle Lake,-5,40
104,Port Menier,-5,40
105,Peterborough,-5,40
106,Prince Pupert,-8,40
107,Fort Chipewyan,-7,40
108,Muskoka,-5,40
109,Quebec,-5,40
110,Red Deer Industrial,-7,40
111,Windsor,-5,40
112,Watson Lake,-8,40
113,Kenora,-6,40
114,Lethbridge,-7,40
115,Moncton,-4,40
116,Comox,-8,40
117,Regina,-6,40
118,Thunder Bay,-5,40
119,Grande Prairie,-7,40
120,Yorkton,-6,40
121,North Battleford,-6,40
122,Gander,-3.5,40
123,Sydney,-4,40
124,Quesnel,-8,40
125,Resolute,-6,40
126,Riviere Du Loup,-5,40
127,Roberval,-5,40
128,Rocky Mountain House,-7,40
129,Rankin Inlet,-6,40
130,Sudbury,-5,40
131,Sherbrooke,-5,40
132,St. John,-4,40
133,Fort Smith,-7,40
134,Nanisivik,-5,40
135,Summerside,-4,40
136,Sachs Harbour,-7,40
137,Cape Dorset,-5,40
138,Thompson,-6,40
139,Trenton,-5,40
140,Timmins,-5,40
141,Tuktoyaktuk,-7,40
142,Repulse Bay,-6,40
143,Hall Beach,-5,40
144,Rouyn,-5,40
145,La Ronge,-6,40
146,Vermillion,-7,40
147,Broughton Island,-5,40
148,Val D'or,-5,40
149,Quujjuaq,-5,40
150,Norman Wells,-7,40
151,Vancouver,-8,40
152,Buffalo Narrows,-6,40
153,Wiarton,-5,40
154,Petawawa,-5,40
155,Wabush,-4,40
156,Williams Lake,-8,40
157,Wrigley,-7,40
158,Cranbrook,-7,40
159,Saskatoon,-6,40
160,Medicine Hat,-7,40
161,Fort Saint John,-7,40
162,Sioux Lookout,-6,40
163,Pangnirtung,-5,40
164,Earlton,-5,40
165,Prince George,-8,40
166,Terrace,-8,40
167,London,-5,40
168,Abbotsford,-8,40
169,Whitehorse,-8,40
170,North Bay,-5,40
171,Calgary,-7,40
172,Smithers,-8,40
173,Fort Nelson,-8,40
174,Penticton,-8,40
175,Charlottetown,-4,40
176,Spence Bay,-7,40
177,Victoria,-8,40
178,Lynn Lake,-6,40
179,Swift Current,-6,40
180,Churchill,-6,40
181,Goose Bay,-4,40
182,St. John's,-3.5,40
183,Kapuskasing,-5,40
184,Armstrong,-5,40
185,Mont Joli,-5,40
186,Gore Bay,-5,40
187,Yellowknife,-7,40
188,Slave Lake,-7,40
189,Sandspit,-8,40
190,Sarnia,-5,40
191,Port Hardy,-8,40
192,Whitecourt,-7,40
193,Sept-iles,-5,40
194,Teslin,-8,40
195,Greenwood,-4,40
196,Faro,-8,40
197,Fort Mcpherson,-7,40
198,Blida,1,4
199,Bou Saada,1,4
200,Bejaja,1,4
201,Algier,1,4
202,Djanet,1,4
203,Boufarik,1,4
204,Reggan,1,4
205,Illizi,1,4
206,Ain Oussera,1,4
207,Tamanrasset,1,4
208,Jijel,1,4
209,Mecheria,1,4
210,Relizane,1,4
211,Annaba,1,4
212,Constantine,1,4
213,Tebessa,1,4
214,Tilrempt,1,4
215,Tiaret,1,4
216,Bou Sfer,1,4
217,Tindouf,1,4
218,Ech-cheliff,1,4
219,Oran,1,4
220,Tlemcen,1,4
221,Sidi Bel Abbes,1,4
222,Ghriss,1,4
223,Adrar,1,4
224,Biskra,1,4
225,El Golea,1,4
226,Ghardaia,1,4
227,Hassi Messaoud,1,4
228,In Salah,1,4
229,Touggourt,1,4
230,Laghouat,1,4
231,Timimoun,1,4
232,Ouargla,1,4
233,Zarzaitine,1,4
234,Cotonou,1,24
235,Ouagadougou,0,36
236,Bobo-dioulasso,0,36
237,Accra,0,84
238,Tamale,0,84
239,Wa,0,84
240,Sunyani,0,84
241,Takoradi,0,84
242,Abuja,1,162
243,Akure,1,162
244,Benin,1,162
245,Calabar,1,162
246,Enugu,1,162
247,Gusau,1,162
248,Ibadan,1,162
249,Ilorin,1,162
250,Jos,1,162
251,Kaduna,1,162
252,Kano,1,162
253,Maiduguri,1,162
254,Makurdi,1,162
255,Lagos,1,162
256,Minna,1,162
257,Port Hartcourt,1,162
258,Sokoto,1,162
259,Yola,1,162
260,Zaria,1,162
261,Maradi,1,161
262,Niamey,1,161
263,Tahoua,1,161
264,Agadez,1,161
265,Dirkou,1,161
266,Diffa,1,161
267,Zinder,1,161
268,Monastir,1,227
269,Tunis,1,227
270,Bizerte,1,227
271,Remada,1,227
272,Gafsa,1,227
273,Gabes,1,227
274,Bordj El Amri,1,227
275,Djerba,1,227
276,El Borma,1,227
277,Sfax,1,227
278,Tozeur,1,227
279,Niatougou,0,223
280,Lome,0,223
281,Antwerp,1,22
282,Beauvechain,1,22
283,Kleine Brogel,1,22
284,Brussels,1,22
285,Bertrix,1,22
286,Charleroi,1,22
287,Chievres,1,22
288,Koksijde,1,22
289,Florennes,1,22
290,Kortrijk-vevelgem,1,22
291,Liege,1,22
292,Ostend,1,22
293,Zutendaal,1,22
294,Sint-truiden,1,22
295,St.-hubert,1,22
296,Ursel,1,22
297,Weelde,1,22
298,Zoersel,1,22
299,Bautzen,1,83
300,Altenburg,1,83
301,Dessau,1,83
302,Eisenhuettenstadt,1,83
303,Suhl,1,83
304,Muehlhausen,1,83
305,Halle,1,83
306,Riesa,1,83
307,Rechlin-laerz,1,83
308,Strausberg,1,83
309,Schoenhagen,1,83
310,Barth,1,83
311,Jena,1,83
312,Kyritz,1,83
313,Magdeburg,1,83
314,Rothenburg/ol,1,83
315,Anklam,1,83
316,Cottbus,1,83
317,Kamenz,1,83
318,Berlin,1,83
319,Dresden,1,83
320,Erfurt,1,83
321,Frankfurt,1,83
322,Munster,1,83
323,Hamburg,1,83
324,Cologne,1,83
325,Duesseldorf,1,83
326,Munich,1,83
327,Nuernberg,1,83
328,Leipzig,1,83
329,Saarbruecken,1,83
330,Stuttgart,1,83
331,Hannover,1,83
332,Bremen,1,83
333,Egelsbach,1,83
334,Hahn,1,83
335,Mannheim,1,83
336,Allendorf,1,83
337,Worms,1,83
338,Mainz,1,83
339,Eisenach,1,83
340,Siegerland,1,83
341,Kiel,1,83
342,Luebeck,1,83
343,Dahlemer Binz,1,83
344,Meinerzhagen,1,83
345,Arnsberg,1,83
346,Essen,1,83
347,Bielefeld,1,83
348,Moenchengladbach,1,83
349,Paderborn,1,83
350,Stadtlohn,1,83
351,Dortmund,1,83
352,Augsburg,1,83
353,Biberach,1,83
354,Eggenfelden,1,83
355,Mindelheim,1,83
356,Oberpfaffenhofen,1,83
357,Straubing,1,83
358,Vilshofen,1,83
359,Leutkirch,1,83
360,Friedrichshafen,1,83
361,Parchim,1,83
362,Stendal,1,83
363,Aalen-heidenheim,1,83
364,Bayreuth,1,83
365,Burg Feuerstein,1,83
366,Hof,1,83
367,Hassfurt,1,83
368,Koblenz,1,83
369,Trier,1,83
370,Speyer,1,83
371,Zweibruecken,1,83
372,Donaueschingen,1,83
373,Freiburg,1,83
374,Mengen,1,83
375,Schwaebisch Hall,1,83
376,Soest,1,83
377,Braunschweig,1,83
378,Kassel,1,83
379,Hildesheim,1,83
380,Bremerhaven,1,83
381,Emden,1,83
382,Leer,1,83
383,Wilhelmshaven,1,83
384,Borkum,1,83
385,Norderney,1,83
386,Flensburg,1,83
387,Rendsburg,1,83
388,Westerland,1,83
389,Armari Air Force Base,2,70
390,Kardla,2,70
391,Kuressaare,2,70
392,Parnu,2,70
393,Tallinn-ulemiste International,2,70
394,Tartu,2,70
395,Enontekio,2,75
396,Eura,2,75
397,Halli,2,75
398,Helsinki,2,75
399,Hameenkyro,2,75
400,Hanko,2,75
401,Hyvinkaa,2,75
402,Kikala,2,75
403,Immola,2,75
404,Kitee,2,75
405,Ivalo,2,75
406,Joensuu,2,75
407,Jyvaskyla,2,75
408,Kauhava,2,75
409,Kemi,2,75
410,Kajaani,2,75
411,Kauhajoki,2,75
412,Kruunupyy,2,75
413,Kemijarvi,2,75
414,Kuusamo,2,75
415,Kittila,2,75
416,Kuopio,2,75
417,Vesivehmaa,2,75
418,Lappeenranta,2,75
419,Mariehamn,2,75
420,Menkijarvi,2,75
421,Mikkeli,2,75
422,Nummela,2,75
423,Oulu,2,75
424,Piikajarvi,2,75
425,Pori,2,75
426,Pudasjarvi,2,75
427,Pyhasalmi,2,75
428,Pattijoki,2,75
429,Rantasalmi,2,75
430,Rovaniemi,2,75
431,Rayskala,2,75
432,Savonlinna,2,75
433,Selanpaa,2,75
434,Sodankyla,2,75
435,Tampere,2,75
436,Teisko,2,75
437,Turku,2,75
438,Utti,2,75
439,Vaasa,2,75
440,Varkaus,2,75
441,Ylivieska-raudaskyla,2,75
442,Alderney,0,92
443,Guernsey,0,92
444,Jersey,0,113
445,Isle Of Man,0,108
446,Amsterdam,1,157
447,Weert,1,157
448,Maastricht,1,157
449,Deelen,1,157
450,Drachten,1,157
451,Eindhoven,1,157
452,Groningen,1,157
453,Gilze-rijen,1,157
454,De Kooy,1,157
455,Lelystad,1,157
456,Leeuwarden,1,157
457,Rotterdam,1,157
458,Soesterberg,1,157
459,Enschede,1,157
460,Valkenburg,1,157
461,Woensdrecht,1,157
462,Cork,0,107
463,Galway,0,107
464,Dublin,0,107
465,Connaught,0,107
466,Kerry,0,107
467,Casement,0,107
468,Shannon,0,107
469,Sligo,0,107
470,Waterford,0,107
471,Aarhus,1,61
472,Billund,1,61
473,Copenhagen,1,61
474,Esbjerg,1,61
475,Gronholt,1,61
476,Karup,1,61
477,Laeso,1,61
478,Maribo,1,61
479,Odense,1,61
480,Krusa-padborg,1,61
481,Ronne,1,61
482,Soenderborg,1,61
483,Skrydstrup,1,61
484,Skive,1,61
485,Thisted,1,61
486,Kolding,1,61
487,Vagar,0,73
488,Vesthimmerland,1,61
489,Stauning,1,61
490,Aalborg,1,61
491,Luxemburg,1,130
492,Alesund,1,166
493,Andoya,1,166
494,Alta,1,166
495,Voss,1,166
496,Bronnoysund,1,166
497,Bodo,1,166
498,Bergen,1,166
499,Batsfjord,1,166
500,Kristiansand,1,166
501,Geilo,1,166
502,Bardufoss,1,166
503,Fagernes,1,166
504,Floro,1,166
505,Oslo,1,166
506,Haugesund,1,166
507,Hasvik,1,166
508,Kristiansund,1,166
509,Kjeller,1,166
510,Kirkenes,1,166
511,Farsund,1,166
512,Molde,1,166
513,Mosjoen,1,166
514,Lakselv,1,166
515,Notodden,1,166
516,Orland,1,166
517,Roros,1,166
518,Skien,1,166
519,Stord,1,166
520,Sandnessjoen,1,166
521,Trondheim,1,166
522,Stavanger,1,166
523,Warsaw,1,177
524,Gdansk,1,177
525,Krakow,1,177
526,Katowice,1,177
527,Mielec,1,177
528,Poznan,1,177
529,Rzeszow,1,177
530,Szczecin,1,177
531,Slupsk,1,177
532,Shapaja,1,177
533,Wroclaw,1,177
534,Zielona Gora,1,177
535,Linkoeping,1,215
536,Norrkoeping,1,215
537,Uppsala,1,215
538,Ronneby,1,215
539,Rada,1,215
540,Gothenborg,1,215
541,Joenkoeping,1,215
542,Falkoping,1,215
543,Lidkoping,1,215
544,Skovde,1,215
545,Trollhattan,1,215
546,Karlsborg,1,215
547,Satenas,1,215
548,Stockholm,1,215
549,Karlskoga,1,215
550,Mora,1,215
551,Arvika,1,215
552,Emmaboda,1,215
553,Ljungby,1,215
554,Kristianstad,1,215
555,Landskrona,1,215
556,Oskarshamn,1,215
557,Anderstorp,1,215
558,Kalkmar,1,215
559,Malmoe,1,215
560,Halmstad,1,215
561,Hagshult,1,215
562,Vaxjo,1,215
563,Hallviken,1,215
564,Hede,1,215
565,Sveg,1,215
566,Gallivare,1,215
567,Hudiksvall,1,215
568,Jokkmokk,1,215
569,Kramfors,1,215
570,Lycksele,1,215
571,Optand,1,215
572,Sundsvall,1,215
573,Ornskoldsvik,1,215
574,Pitea,1,215
575,Kiruna,1,215
576,Orsa,1,215
577,Skelleftea,1,215
578,Sattna,1,215
579,Umea,1,215
580,Vilhelmina,1,215
581,Arvidsjaur,1,215
582,Orebro,1,215
583,Vasteras,1,215
584,Lulea,1,215
585,Vidsel,1,215
586,Arboga,1,215
587,Borlange,1,215
588,Hultsfred,1,215
589,Gavle,1,215
590,Eskilstuna,1,215
591,Visby,1,215
592,Kalixfors,1,215
593,Spangdahlem,1,83
594,Ramstein,1,83
595,Giebelstadt,1,83
596,Brueckeburg,1,83
597,Celle,1,83
598,Rheine-brentlange,1,83
599,Fritzlar,1,83
600,Laupheim,1,83
601,Mendig,1,83
602,Niederstetten,1,83
603,Roth,1,83
604,Fassberg,1,83
605,Grafenwoehr,1,83
606,Hanau,1,83
607,Hohenfels,1,83
608,Kitzingen,1,83
609,Nordholz,1,83
610,Diepholz,1,83
611,Geilenkirchen,1,83
612,Hohn,1,83
613,Jever,1,83
614,Laage,1,83
615,Noervenich,1,83
616,Schleswig,1,83
617,Wittmundhafen,1,83
618,Wunstorf,1,83
619,Vilseck,1,83
620,Coleman,1,83
621,Wiesbaden,1,83
622,Landsberg,1,83
623,Buechel,1,83
624,Erding,1,83
625,Fuerstenfeldbruck,1,83
626,Holzdorf,1,83
627,Ingolstadt,1,83
628,Lechfeld,1,83
629,Neuburg,1,83
630,Guetersloh,1,83
631,Alexander Bay,2,206
632,Aggeneys,2,206
633,Brakpan,2,206
634,Bisho,2,206
635,Bloemfontein,2,206
636,Bethlehem,2,206
637,Bothaville,2,206
638,Cape Town,2,206
639,Calvinia,2,206
640,Durban,2,206
641,East London,2,206
642,Ermelo,2,206
643,Ficksburg,2,206
644,Johannesburg,2,206
645,George,2,206
646,Graaff Reinet,2,206
647,Grahamstown,2,206
648,Greytown,2,206
649,Harmony,2,206
650,Harrismith,2,206
651,Hoedspruit,2,206
652,Hendrik Verwoerddam,2,206
653,Klerksdorp,2,206
